subject,intent,sentiment,mentions_retraction,count
"mathematics","disputes","neutral","yes","1"
"physiology","cites for information","neutral","no","1"
"internal medicine","cites as evidence","negative","no","1"
"internal medicine","describes","neutral","no","1"
"internal medicine","discusses","neutral","no","2"
"internal medicine","qualifies","neutral","no","1"
"internal medicine","cites as evidence","neutral","no","1"
"internal medicine","disputes","neutral","no","2"
"internal medicine","cites for information","neutral","no","2"
"public health","cites for information","neutral","no","1"
"public health","qualifies","neutral","no","1"
"public health","discusses","negative","no","2"
"medicine","discusses","negative","yes","4"
"medicine","credits","neutral","no","9"
"medicine","cites for information","negative","no","1"
"medicine","qualifies","negative","no","1"
"medicine","cites for information","neutral","no","10"
"medicine","disputes","neutral","no","17"
"medicine","discusses","neutral","yes","2"
"medicine","describes","neutral","no","4"
"medicine","obtains support from","neutral","no","1"
"medicine","disputes","negative","yes","1"
"medicine","cites as evidence","negative","no","7"
"medicine","critiques","negative","yes","2"
"medicine","discusses","negative","no","4"
"medicine","credits","negative","no","5"
"medicine","disputes","negative","no","3"
"medicine","obtains background from","neutral","no","12"
"medicine","ridicules","negative","no","2"
"medicine","cites as evidence","neutral","no","6"
"medicine","discusses","neutral","no","13"
"medicine","cites as evidence","negative","yes","1"
"medicine","critiques","negative","no","5"
"medicine","cites for information","neutral","yes","1"
"medicine","obtains background from","positive","no","1"
"medicine","discusses","positive","no","1"
"medicine","includes excerpt from","neutral","no","2"
"medicine","disputes","neutral","yes","1"
"medicine","ridicules","negative","yes","1"
"medicine","cites as evidence","neutral","yes","1"
"medicine","qualifies","negative","yes","1"
"medicine","qualifies","neutral","no","2"
"dentistry","cites as evidence","negative","no","1"
"dentistry","cites for information","neutral","no","1"
"dentistry","qualifies","neutral","no","1"
"computer science","discusses","neutral","no","5"
"computer science","describes","neutral","no","1"
"computer science","includes excerpt from","neutral","no","1"
"social sciences","discusses","neutral","no","11"
"social sciences","credits","neutral","no","5"
"social sciences","describes","neutral","no","5"
"social sciences","cites as evidence","negative","no","1"
"social sciences","includes excerpt from","neutral","no","1"
"social sciences","critiques","negative","yes","1"
"social sciences","disputes","neutral","no","1"
"social sciences","discusses","negative","no","2"
"social sciences","disputes","negative","no","1"
"social sciences","cites for information","neutral","no","1"
"social sciences","qualifies","neutral","no","1"
"social sciences","discusses","neutral","yes","1"
"nursing","describes","neutral","yes","1"
"nursing","disputes","neutral","yes","1"
"nursing","discusses","negative","yes","2"
"nursing","describes","neutral","no","2"
"nursing","cites as evidence","negative","no","1"
"nursing","disputes","neutral","no","2"
"nursing","disputes","negative","no","1"
"nursing","discusses","neutral","no","5"
"nursing","credits","neutral","no","2"
"nursing","critiques","negative","no","1"
"nursing","includes excerpt from","neutral","no","2"
"nursing","qualifies","neutral","no","2"
"nursing","credits","negative","no","1"
"neuroscience","cites for information","neutral","no","3"
"neuroscience","disputes","neutral","no","4"
"neuroscience","discusses","negative","no","1"
"neuroscience","cites as evidence","neutral","no","1"
"neuroscience","discusses","neutral","no","1"
"neuroscience","credits","neutral","no","2"
"neuroscience","ridicules","negative","yes","1"
"arts and humanities","describes","neutral","no","2"
"arts and humanities","discusses","neutral","no","4"
"arts and humanities","cites as evidence","negative","no","1"
"arts and humanities","includes excerpt from","neutral","no","1"
"arts and humanities","credits","neutral","no","1"
"arts and humanities","cites for information","neutral","no","3"
"arts and humanities","disputes","neutral","no","1"
"psychology","describes","neutral","no","1"
"psychology","discusses","neutral","no","3"
"psychology","discusses","neutral","yes","1"
"psychology","cites for information","neutral","no","2"
"psychology","disputes","neutral","no","8"
"psychology","credits","neutral","no","1"
"psychology","cites as evidence","neutral","no","2"
"health professions","credits","neutral","no","1"
"health professions","cites as evidence","negative","no","1"
"health professions","disputes","neutral","no","1"
"health professions","discusses","negative","no","1"
"health professions","disputes","neutral","yes","1"
"biochemistry, genetics and molecular biology","describes","neutral","no","2"
"biochemistry, genetics and molecular biology","critiques","negative","no","4"
"biochemistry, genetics and molecular biology","discusses","negative","no","3"
"biochemistry, genetics and molecular biology","disputes","neutral","no","4"
"biochemistry, genetics and molecular biology","cites for information","neutral","no","3"
"biochemistry, genetics and molecular biology","credits","negative","no","1"
"biochemistry, genetics and molecular biology","discusses","neutral","no","3"
"biochemistry, genetics and molecular biology","qualifies","neutral","no","1"
"biochemistry, genetics and molecular biology","credits","neutral","no","1"
"biochemistry, genetics and molecular biology","disputes","negative","no","1"
"biochemistry, genetics and molecular biology","qualifies","negative","yes","1"
"biochemistry, genetics and molecular biology","critiques","negative","yes","1"
"immunology and microbiology","obtains support from","neutral","no","1"
"immunology and microbiology","discusses","negative","no","2"
"immunology and microbiology","disputes","neutral","no","2"
"immunology and microbiology","critiques","negative","no","2"
"immunology and microbiology","describes","neutral","no","1"
"immunology and microbiology","cites for information","neutral","no","1"
"immunology and microbiology","qualifies","neutral","no","1"
"immunology and microbiology","credits","neutral","no","1"
"immunology and microbiology","disputes","negative","no","1"
"immunology and microbiology","discusses","neutral","no","1"
"pharmacology, toxicology and pharmaceutics","discusses","negative","no","1"
"pharmacology, toxicology and pharmaceutics","disputes","neutral","no","2"
"pharmacology, toxicology and pharmaceutics","cites for information","neutral","no","1"
"pharmacology, toxicology and pharmaceutics","critiques","negative","no","2"
"pharmacology, toxicology and pharmaceutics","disputes","neutral","yes","1"
"pharmacology, toxicology and pharmaceutics","cites as evidence","neutral","no","2"
"pharmacology, toxicology and pharmaceutics","describes","neutral","no","1"
"chemical engineering","cites for information","neutral","no","1"
"engineering","cites for information","neutral","no","1"
"engineering","describes","neutral","no","2"
"engineering","discusses","neutral","no","3"
"engineering","includes excerpt from","neutral","no","1"
"materials science","cites for information","neutral","no","1"
"microbiology","critiques","negative","no","1"
"economics, econometrics and finance","describes","neutral","no","1"
"economics, econometrics and finance","discusses","neutral","no","3"
"economics, econometrics and finance","includes excerpt from","neutral","no","1"
"economics, econometrics and finance","discusses","positive","yes","2"
"economics, econometrics and finance","discusses","neutral","yes","1"
"environmental science","cites for information","neutral","no","1"
"environmental science","describes","neutral","no","1"
"environmental science","cites as evidence","neutral","no","2"
"environmental science","qualifies","neutral","no","1"
"agricultural and biological sciences","discusses","negative","no","1"
"agricultural and biological sciences","discusses","neutral","no","2"
"agricultural and biological sciences","cites for information","neutral","no","1"
"multidisciplinary","disputes","neutral","yes","1"
"business, management and accounting","discusses","positive","yes","2"
"business, management and accounting","discusses","neutral","yes","1"
"business, management and accounting","credits","neutral","no","1"
"business, management and accounting","discusses","neutral","no","1"
