Date,DOI,Source,Title,Abstract,Section,Citations to retracted article,Citing reasons,Sentiment (negative/neutral/positive),Mentions the article retraction,Notes
2005,10.1191/0969733005ne757oa,Other,Informing Education Policy on MMR: balancing individual freedoms and collective responsibilities for the promotion of public health,"The recent decrease in public confidence in the measles, mumps and rubella vaccine has important implications for individuals and public health. This article presents moral arguments relating to conflicts between individual autonomy and collective responsibilities in vaccination decisions with a view to informing and advising health professionals and improving the effectiveness of education policies in avoiding resurgence of endemic measles. Lower population immunity, due to falling uptake, is hastening the need for greater public awareness of the consequences for the population. Vaccination refusals go hand in hand with responsibilities owed to future generations and society in not knowingly contributing to preventable harms. Issues such as parents’ rights are considered and balanced against: collective responsibilities for public health; permissibility of ‘free-riding’; conflicting duties of health professionals; and possible enforcement of vaccination. It is suggested that the arguments may form a persuasive tool for the practice of health professionals involved in informing and supporting parents’ vaccination decisions.

",Background;;,"Additionally, should such a low vaccina- tion rate be maintained, there would be an increased likelihood of a resurgence of measles as an endemic disease, with a low permanent level of infection in the population. 
The recently released research by Wakefield and his colleagues, who claimed to have found evidence of a causal association between MMR and regressive autism and inflammatory bowel disease,9,10 generated a storm of controversy. The result was a fall in uptake rates for immunization using the combined vaccine in the UK. ;;",qualifies;;,neutral;;,no;;,
2005,10.1080/02813430510031306,doi.org,"Parents’ reported reasons for avoiding MMR vaccination
","Objective. During the second half of the 1990s and the first years of the 2000s a declining coverage for MMR vaccination in two-year-olds was observed in Sweden. The aim was to assess reasons for postponement or non-vaccination. Design. A telephone survey using a structured questionnaire on parents’ attitudes regarding their choice to postpone or abstain from vaccinating their child. Setting. The County of Östergötland in Sweden. Subjects. A total of 203 parents of children who had no registered date for MMR vaccination at a Child Health Centre. Main outcome measures. Parental reasons for non-vaccination. Results. In all, 26 of the 203 children had received MMR vaccination but this had not been registered. Of those not vaccinated, 40% of the parents had decided to abstain and 60% to postpone vaccination. Fear of side effects was the most common reason for non-vaccination in both groups. The main source of information was the media followed by the Child Health Centre. Parents with a single child more often postponed vaccination and those who abstained were more likely to have had a discussion with a doctor or nurse about MMR vaccine. Conclusion. Postponers and abstainers may have different reasons for their decision. The role of well-trained healthcare staff in giving advice and an opportunity to discuss MMR vaccination with concerned parents is very important.
",introduction;;,"In the mid 1990s the debate on the alleged risks of childhood vaccines became intense. This debate was largely stimulated by publications from a single research group suggesting a possible link between measles, measles vaccine, and inflammatory bowel disease [1], and between measles, mumps, and rubella vaccine (MMR) and autism [2]. To date, all expert reviews of the literature as well as population studies have refuted any such association [3–6].",disputes;;,neutral;;,no;;,
2005,10.3917/psye.482.0577,doi.org,Autism and gluten: myths and realities,"A growing number of families subject their autistic children to spe- cific diets without gluten or casein in the hope of alleviating the troubles from which they suffer. These diets have been set in place to respond to various physiopathological hypotheses of which none has yet been clearly proven. In this article, we analyse the data from the literature concerning these hypotheses and propose an interpretation as to the fac- tors which have caused such keen interest in these diets. 
",,,,,,"The original article is written in French. The values reported are translated to English using google dictionary. ;;
Bad citations format"
2005,10.1111/j.1467-8519.2005.00425.x,doi.org,THE DETERMINATION OF THE BEST INTERESTS IN RELATION TO CHILDHOOD IMMUNISATION*,"There are many different ethical arguments that might be advanced for and against childhood vaccinations. In this paper I explore one particular argument that focuses on the idea that such vaccinations are justifiable because they are held to be in the best interests of a particular child. Two issues arise from this idea. The first issue is how best interests are to be determined in this case. The second issue is what follows from this to justify potential interventions within the family in relation to such vaccinations. I argue that best interests must be characterised objectively in such situations and that this means that, in at least some cases, parental decision‐making about vaccinating their children may be overridden.



",Middle section; “WHAT ARE ‘BEST INTERESTS’? ”;;,"What is the likelihood of it occurring and how sig- nificant are these potential consequences? However, such ques- tions need to be weighed against the likelihood of contracting that infection and the potential harm caused by the relevant illness itself.25 
Whilst it can be conceded that the empirical evidence in favour or against a particular medical procedure is never likely to be conclusive, this does not mean that we cannot formulate best interests judgments in relation to such issues.
",cites for information;;,neutral;;,no;;,
2005,10.1177/146642400512500212,Other,"Risks and benefits of the single versus the triple MMR vaccine: how can health professionals reassure parents?



","Measles, mumps and rubella (MMR) are all preventable but infectious diseases caused by viruses. A particular study by Wakefield et al1 suggests that there are potentially adverse effects of having the triple MMR vaccine. This has been reported widely by the media and has caused alarm to parents of young children, probably contributing to the decline in its uptake.2-5 In order to provide the context for the debate regarding the single versus the triple vaccine, this paper briefly appraises firstly, the Wakefield et al research paper1 that has led to public health concerns and secondly, a more rigorous research study (Madsen et al6) that contradicts the findings; the paper then explores the risks and benefits of the single and the triple MMR vaccine programmes, finally providing a short discussion on factors that might influence the decision-making process by parents when faced with the dilemma of not having their child vaccinated, or opting for either the single or triple vaccination programme.

","Abstract;;
Abstract;;
Introduction;;
Introduction;;
Middle section; “WAKEFIELD ET AL’S RESEARCH STUDY ”;;","Measles, mumps and rubella (MMR) are all preventable but infectious diseases caused by viruses. A particular study by Wakefield et al1 suggests that there are potentially adverse effects of having the triple MMR vaccine. This has been reported widely by the media and has caused alarm to parents of young children, probably contributing to the decline in its uptake.2-5 ;;
This has been reported widely by the media and has caused alarm to parents of young children, probably contributing to the decline in its uptake.2-5 In order to provide the context for the debate regarding the single versus the triple vaccine, this paper briefly appraises firstly, the Wakefield et al research paper1 that has led to public health concerns and secondly, a more rigorous research study (Madsen et al6) that contradicts the findings; the paper then explores the risks and benefits of the single and the triple MMR vaccine programmes, finally providing a short discussion on factors that might influence the decision-making process by parents when faced with the dilemma of not having their child vaccinated, or opting for either the single or triple vaccination programme. ;;
In order to provide herd immunity, that is the level of successful immunisation necessary for the disease to die out, at least 95% of the population requires vaccination. However, Wakefield et al’s study1 suggests that there are potentially adverse effects of having the triple MMR vaccine. This has been reported widely by the media and has caused alarm to parents of young children, probably contributing to the decline in its uptake.2-5 ;;
There have already been a number of limited outbreaks, partic- ularly in some of the heavily populated districts such as inner London with most of the cases occur- ring in children under five years of age, the majority being also unvaccinated.8 In order to provide the context for the debate regarding the single versus the triple vaccine, this paper briefly appraises firstly, the Wakefield et al1 research paper that has led to public health concerns and secondly, a more rigor- ous research study by Madsen et al6 that contradicts the findings; the paper then explores the risks and benefits of the single and the triple MMR vaccine programmes, and finally provides a short discussion on factors that may influence the decision-making process by parents when faced with the dilemma of not having their child vaccinated, or opting for either the single or triple vaccination programme. ;;
This controversial study, undertaken by Wakefield et al,1 speculates whether the triple vaccine could lead to the regressive developmental disorder ‘autism’, a condition in which a child is unable to relate to people and situations, and may show an obsessive resistance to any change, or it may lead to chronic enterocolitis, Crohn’s disease, an inflammatory bowel condition.1 Wakefield et al’s uncontrolled study, however, was confined to 12 children who were consecutively referred to the department of paediatric gastroenterology with symptoms that included loss of acquired skills and gastrointestinal symptoms. ;;","qualifies;;
obtains background from;;
qualifies;;
obtains background from;;
critiques;;","neutral;;
neutral;;
neutral;;
neutral;;
negative;;",no;;,
2005,10.3109/9780203007648-20,Other,"Antibodies against CNS antigens in autism:
Possible cross-reaction with dietary proteins
and infectious agent antigens",None,middle section; “ANTIBODIES IN AUTISM”;;,"Studies with peptide analogues suggest that different populations
of encephalitogenic T cells are activated by the C. pneumoniae and myelin basic protein antigens.”46 Many infectious agents including measles,47
rubella virus,48 and cytomegalovirus49 have long been suspected as etiologic factors in autism. However, whether these viruses induce brain autoantibodies has
not yet been explored.16 ;;",disputes;;,neutral;;,no;;,
2005,10.3109/9780203007648-21,Other,Immunological issues in patients with autism spectrum disorders,None,"middle section;“NEUROPSYCHIATRIC DISORDERS AND INFECTION”;;
middle section;“NEUROPSYCHIATRIC DISORDERS AND INFECTION”;;","The role of the
measles-mumps-rubella (MMR) vaccine in the devel-
opment of autism is an exceedingly controversial
issue. Following reports of temporal association of
autistic regression and enterocolitis with MMR,Z4’63 it
was hypothesized that chronic measles infection is
associated with autism enterocolitis in a subset of
ASD children. However, so far epidemiological
studies have failed to support this proposal,35>‘4’65 and
the evidence for measles virus-induced enterocolitis is
not convincingly deﬁned.24’“ (Please see Chapter 21.);;

One striking ﬁnding in ASD children is frequent GI
symptoms, especially in young children. Nonspeciﬁc
colitis with ileal-lymphoid nodular hyperplasia has
been reported in regressive autism63 With colonic CD8
and TCRyS T cell inﬁltration with prominent epi—
thelial cell damage.67 The same group also reported
epithelial IgG and complement deposition accompa-
nied by inﬁltration of enterocytes and lymphocytes in
epithelium and lamina propria in duodenal biopsies
of 24 children with regression autismﬁ8 Others also
reported GI abnormalities including esophagitis
(69.4%), chronic gastritis (41.7%), and chronic duo—
denitis (66.7%) in 36 autism patients who underwent
upper GI endoscopy secondary to various GI symp—
toms.”;;","disputes;;
discusses;;","neutral;;
neutral;;",no;;,
2005,10.3109/9780203007648-22,Other,"The gut—brain axis in childhood developmental
disorders: Viruses and vaccines",None,middle section; “ETIOLOGY”;;,"Mean percentage MV+ cell populations were signiﬁcantly increased compared
with developmentally normal controls. Serum IgG immunoreactivity for MV was signiﬁcantly elevated in affected children compared With age—matched con—
trols; however mumps, rubella, and CMV IgG anti- body titers were not elevated.51
Further analysis of ileal lymphoid tissues was con- ducted using in-cell and TaqMan RT—PCR tech- nologies.52;;",cites for information;;,neutral;;,no;;,
2005,10.1111/j.1572-0241.2005.41202_4.x,Other,"Panenteric IBD-Like Disease in a Patient with Regressive Autism Shown for the First Time by the Wireless Capsule Enteroscopy: Another Piece in the Jigsaw of this Gut-Brain Syndrome? 
",None,None,"Although the causes of autism are largely unknown, this life-long developmental disorder is now show- ing a strong increase of prevalence (1/500). Intestinal disease was first described in 1998 in these patients (1) although there have been indications of impaired gastrointestinal function in the past (2). This disorder, comprising ileo-colonic lym- phoid nodular hyperplasia and chronic inflammatory colonic disease, was called autistic enterocolitis; an association be- tween autism and bowel disease was then proposed (3). 
",discusses;;,neutral;;,no;;,This article is a letter.
2005,10.1111/j.1467-8519.2005.00433.x,Other,"THE DETERMINATION OF ‘BEST INTERESTS’ IN RELATION TO CHILDHOOD VACCINATIONS 
","There are many different ethical arguments that might be advanced for and against childhood vaccinations. In this paper I will explore one particular argument that focuses on the idea that childhood vaccinations are justifiable because they are held to be in the best interests of a particular child. Two issues arise from this idea. The first issue is how best interests are to be determined in the case of childhood vaccinations. The second issue is what follows from this to justify potential interventions within the family in relation to such vaccinations. I argue that best interests must be characterised objectively in such situations and that this means that, in at least some cases, parental decision-making about vaccinating their children may be overridden. 
",,,,,,This article is a duplicate of “10.1111/j.1467-8519.2005.00425.x”.
