title,doi,pubmedid,date,authors,subject,venue,article_type,country,paywall,notes,other_article_info,retraction_reasons,retraction_date,retraction_notice_type,retraction_notice_doi
When Words Hurt: Affective Word Use in Daily News Coverage Impacts Mental Health,10.3389/fpsyg.2018.01333,30116210,08/02/2018,Jolie B Wormwood; Madeleine Devlin; Yu Ru Lin; Lisa Feldman Barrett; Karen S Quigley,(HUM) Journalism; (SOC) Psychology; ,Frontiers in Psychology ---Frontiers,Research Article,United States,No,,"Department of Psychology, Northeastern University, Boston, MA, United States School of Computing and Information, University of Pittsburgh, Pittsburgh, PA, United States Department of Psychiatry, Massachusetts General Hospital, Athinoula A. Martinos Center for Biomedical Imaging, Charlestown, MA, United States Edith Nourse Rogers Memorial (VA) Medical Center, Center for Healthcare Organization and Implementation Research, Bedford, MA, United State",error in data; error in methods; error in results and/or conclusions,12/17/2020,Retraction,33391138; 10.3389/fpsyg.2020.630044
Globalization and vulnerable populations in times of a pandemic: A Mayan perspective,10.1186/s13010-020-00093-4,33040737,10/12/2020,Claudia Ruiz Sotomayor; Alejandra Barrero,(HSC) Medicine - Infectious Disease; (HSC) Public Health and Safety; (HUM) History - South America; ,"Philosophy, Ethics, and Humanities in Medicine ---Springer - Biomed Central (BMC)",Review Article,United States,No,,"Pellegrino Center for Clinical Bioethics, Georgetown University, Washington DC, USA Department of Neonatology, Beth Israel Deaconess Medical Center, Boston, Massachusetts Harvard Medical School, Department of Pediatrics, Boston, Massachusetts, USA",error by journal/publisher; error in text,12/14/2020,Retraction,33317564; 10.1186/s13010-020-00098-z
"Crisis of the nomological model, expectation of diligence and criminally relevant conduct. Comparative aspects on the definition of punishable fault",10.22034/jhi.2019.80908,,08/01/2019,Dimitris Liakopoulos,(HUM) Philosophy; (SOC) Law/Legal Issues; ,Journal of Humanities Insights ---Iranian-Australian Community of Science,Review Article,United States,No,,European Union Law at the Fletcher School-Tufts University; http://retractionwatch.com/2020/12/14/legal-researcher-up-to-23-retractions-for-false-affiliations-plagiarism/,date of retraction/other unknown; false affiliation; notice - lack of; withdrawal,12/12/2020,Retraction,00000000; unavailable
Search of Self Amidst Chaos,10.1007/s40737-015-0023-8,,03/14/2015,Pankaj Suneja,(HUM) Arts - Music; (SOC) Psychology; ,Journal of Psychosocial Rehabilitation and Mental Health ---Springer,Commentary/Editorial,India,No,,"Flat No. 219, Pocket A-1, Sector-6, Rohini, New Delhi, 110085, India",notice - limited or no information,12/08/2020,Retraction,00000000; 10.1007/s40737-020-00208-2
Must the Relation of Substantial Composition Be a Mode William of Ockham’s Answers,,,01/01/2018,Magali Roques,(HUM) Philosophy; ,Archives d'histoire doctrinale et littéraire du Moyen Âge ---Librairie philosophique J. Vrin,Review Article,Germany,No,,"Universität Hamburg, Überseering 35, Postfach #4, 20146 Hamburg, Germany",date of retraction/other unknown; notice - limited or no information,11/18/2020,Retraction,00000000; unavailable
Ockham on the Parts of the Continuum,,,09/01/2017,Magali Roques,(HUM) Philosophy; ,Oxford Studies in Medieval Philosophy ---Oxford University Press,Review Article,Germany,No,,unavailable,date of retraction/other unknown; plagiarism of article,11/16/2020,Retraction,00000000; unavailable
"The Good, the Bad, and the Ugly: Should We Completely Banish Human Albumin from Our Intensive Care Units",10.1097/00000539-200010000-00022,11004043,10/01/2000,Joachim Boldt,(HSC) Medicine - Anesthesia/Anaesthesia; (HUM) Journalism; ,Anesthesia & Analgesia ---Wolters Kluwer - Lippincott Williams & Wilkins,Review Article,Germany,No,,"Department of Anesthesiology and Intensive Care Medicine, Klinikum der Stadt Ludwigshafen, Ludwigshafen, Germany; http://retractionwatch.com/?s=%22joachim+boldt%22",investigation by company/institution; misconduct - official investigation/finding; misconduct by author,10/23/2020,Retraction,33094990; 10.1213/ANE.0000000000005113
The Influence of Different Intravascular Volume Replacement Regimens on Renal Function in the Elderly,10.1213/00000539-199911000-00009,10553822,05/01/1999,Bernhard Kumle; Joachim Boldt; Sven Piper; Christian Schmidt; Stephan Suttner; Sanja Salopek,(HSC) Medicine - Anesthesia/Anaesthesia; (HUM) Journalism; ,Anesthesia & Analgesia ---Wolters Kluwer - Lippincott Williams & Wilkins,Research Article,Germany,No,,"Department of Anesthesiology and Intensive Care Medicine, Klinikum der Stadt Ludwigshafen, Ludwigshafen, Germany Department of Surgery, Klinikum der Stadt Ludwigshafen, Ludwigshafen, Germany; http://retractionwatch.com/?s=%22joachim+boldt%22",investigation by company/institution; misconduct - official investigation/finding; misconduct by author,10/23/2020,Retraction,33094990; 10.1213/ANE.0000000000005113
Which Countries Publish in Important Anesthesia and Critical Care Journals,10.1213/00000539-199905000-00038,10320190,05/01/1999,Joachim Boldt; Wolfgang H Malek; Katharina P Koetter,(HSC) Medicine - Anesthesia/Anaesthesia; (HUM) Journalism; ,Anesthesia & Analgesia ---Wolters Kluwer - Lippincott Williams & Wilkins,Research Article,Germany,No,,"Department of Anesthesiology and Intensive Care Medicine, Klinikum der Stadt Ludwigshafen, Ludwigshafen Neurological Intensive Care Unit, Leopoldina-Hospital, Schweinfurt, Germany; http://retractionwatch.com/?s=%22joachim+boldt%22",investigation by company/institution; misconduct - official investigation/finding; misconduct by author,10/23/2020,Retraction,33094990; 10.1213/ANE.0000000000005113
Structural styles and origin of the Dabashan foreland arcuate belt and basin-mountain system in central China,10.1016/j.jseaes.2019.03.002,,03/04/2019,Kai Cui; Yixuan Wang,(HUM) History - Asia; (PHY) Geology; ,Journal of Asian Earth Sciences ---Elsevier,Research Article,China,No,,"Key Laboratory of Transportation Tunnel Engineering of the Ministry of Education, Southwest Jiaotong University, Chengdu, Sichuan Province, China School of Civil Engineering, Southwest Jiaotong University, Chengdu, Sichuan Province, China",plagiarism of image,10/17/2020,Retraction,00000000; 10.1016/j.jseaes.2020.104384
Men’s music ability and attractiveness to women in a real-life courtship context,10.1177/0305735613482025,,05/01/2013,Nicolas Guéguen; Sébastien Meineri; Jacques Fischer-Lokou,(HUM) Arts - Music; (SOC) Psychology; ,Psychology of Music ---SAGE Publications,Research Article,France,No,,"Université de Bretagne-Sud, France Université de Paris-Sud, France; http://retractionwatch.com/?s=%22Gueguen%22; http://retractionwatch.com/2020/10/09/heard-about-the-study-claiming-men-who-carry-guitar-cases-are-more-attractive-its-been-retracted/",concerns/issues about data; concerns/issues about results; investigation by company/institution; investigation by journal/publisher; updated to retraction;; ethical violations by author; informed/patient consent - none/withdrawn; unreliable data; upgrade/update of prior notice,07/15/2020;; 10/08/2020,Expression of concern;; Retraction,00000000; 10.1177/0305735620964704;; 00000000; 10.1177/0305735620964704
Cognitive-behavioural therapy combined with music therapy for chronic fatigue following Epstein-Barr virus infection in adolescents: a feasibility study,10.1136/bmjpo-2019-000620,32342016,04/09/2020,Sadak Malik; Tarjei Tørre Asprusten; Maria Pedersen; Julie Mangersnes; Gro Trondalen; Betty van Roy; Eva Skovlund; Vegard Bruun Wyller,(HSC) Medicine - Infectious Disease; (HSC) Medicine - Pediatrics; (HUM) Arts - Music; (SOC) Psychology; ,BMJ Paediatrics Open ---Springer - Biomed Central (BMC),Research Article,Norway,No,,"Pediatrics, Akershus University Hospital, Oslo, Norway Institutt for klinisk medisin, Universitetet i Oslo, Oslo, Norway Barne- og Ungdomsklinikken, Akershus Universitetssykehus HF, Lorenskog, Norway Department of Pediatrics and Adolescent Medicine, Drammen Hospital, Drammen, Norway Center for Music and Health, Norwegian College of Music, Oslo, Norway Department of Public Health and Nursing, NTNU—Norwegian University of Science and Technology, Trondheim, Norway",error by journal/publisher; retract and replace,10/01/2020,Retraction,33123631; 10.1136/bmjpo-2019-000620ret
"Johannes Koder, Die Byzantiner: Kultur und Alltag im Mittelalter",10.1086/699870,,10/01/2018,Spyros P Panagopoulos,(HUM) History - Asia; (HUM) History - Europe; ,Speculum ---The University of Chicago Press,Review Article,Greece,No,,Ionian University,plagiarism of article,10/01/2020,Retraction,00000000; 10.1086/711388
Report of the Linacre Quarterly Survey: The Linacre Quarterly Committee,10.1177/0024363919863548,,07/31/2019,Editorial Staff,(HUM) Religion; ,The Linacre Quarterly ---SAGE Publications,Research Article,United States,No,,unavailable,duplicate publication through error by journal/publisher,09/29/2020,Retraction,00000000; 10.1177/0024363920965378
Introduction,10.1163/15685349-12341340,,07/14/2017,Frédéric Goubier; Magali Roques,(HUM) Philosophy; ,Vivarium ---Brill,Review Article,France,Germany,Switzerland; No,"Université de Genève, Switzerland Universität Hamburg, Germany Laboratoire d’études sur les Monothéismes, Centre national de la recherche scientifique (CNRS), Paris, France",notice - lack of,09/04/2020,Retraction,00000000; 10.1163/15685349-12341340
Introduction,,,11/16/2007,Francisco Gómez Camacho,(B/T) Business - Economics; (HUM) History - Europe; (HUM) Philosophy; ,Journal of Markets & Morality ---Acton Institute for the Study of Religion & Liberty,Book Chapter/Reference Work,Unknown,Unknown,,Unavailable; http://retractionwatch.com/2015/07/20/two-retractions-cost-economic-historian-book-chapter-and-journal-article/,notice - lack of; plagiarism of text,07/01/2015,Retraction,
"Thought-time, money-time and the conditions of free academic labour",10.1177/0961463X15577256,,03/29/2015,Jeff Noonan,(HUM) Philosophy; (SOC) Education; ,Time & Society ---SAGE Publications,Research Article,Canada,No,,"University of Windsor, Windsor, Ontario, Canada",duplicate publication through error by journal/publisher,08/28/2020,Retraction,00000000; 10.1177/0961463X15577256
A Companion to Latin Greece,10.1080/09503110.2018.1426701,,03/15/2018,Spyros P Panagopoulos,(HUM) History - Asia; (HUM) Religion; ,Al-Masāq ---Taylor and Francis,Book Chapter/Reference Work,Greece,No,,"Department of History, Ionian University, Corfu, Greece; http://retractionwatch.com/2020/08/11/getting-medieval-society-says-it-is-retracting-14-book-reviews-for-plagiarism/",plagiarism of article,08/11/2020,Review Article; Retraction,00000000; unavailable
Approaches to the Byzantine Family,10.1080/09503110.2016.1198537,,08/22/2016,Spyros P Panagopoulos,(HUM) History - Asia; (HUM) Religion; ,Al-Masāq ---Taylor and Francis,Book Chapter/Reference Work,Greece,No,,"Department of History, Ionian University, Corfu, Greece; http://retractionwatch.com/2020/08/11/getting-medieval-society-says-it-is-retracting-14-book-reviews-for-plagiarism/",plagiarism of article,08/11/2020,Review Article; Retraction,00000000; unavailable
"Byzantine Epirus: A Topography of Transformation. Settlement of the Seventh-Twelfth Centuries in Southern Epirus and Aetoloacarnania, Greece",10.1080/09503110.2015.1100830,,01/05/2016,Spyros P Panagopoulos,(HUM) History - Europe; (HUM) Religion; ,Al-Masāq ---Taylor and Francis,Book Chapter/Reference Work,Greece,No,,"Ionian University, Corfu, Greece; http://retractionwatch.com/2020/08/11/getting-medieval-society-says-it-is-retracting-14-book-reviews-for-plagiarism/",plagiarism of article,08/11/2020,Review Article; Retraction,00000000; unavailable
"Byzantines, Latins, and Turks in the Eastern Mediterranean World after 1150",10.1080/09503110.2015.1100832,,01/05/2016,Spyros P Panagopoulos,(HUM) History - Asia; (HUM) Religion; ,Al-Masāq ---Taylor and Francis,Book Chapter/Reference Work,Greece,No,,"Department of History, Ionian University, Greece; http://retractionwatch.com/2020/08/11/getting-medieval-society-says-it-is-retracting-14-book-reviews-for-plagiarism/",plagiarism of article,08/11/2020,Review Article; Retraction,00000000; unavailable
"Byzantium and the Emergence of Muslim-Turkish Anatolia, ca. 1040-1130",10.1080/09503110.2019.1614313,,05/17/2019,Spyros P Panagopoulos,(HUM) History - Asia; (HUM) Religion; ,Al-Masāq ---Taylor and Francis,Book Chapter/Reference Work,Greece,No,,"Department of History, Ionian University, Corfu, Greece; http://retractionwatch.com/2020/08/11/getting-medieval-society-says-it-is-retracting-14-book-reviews-for-plagiarism/",plagiarism of article,08/11/2020,Review Article; Retraction,00000000; unavailable
Diplomatics in the Eastern Mediterranean 1000–1500: Aspects of Cross-Cultural Communication,10.1080/09503110.2014.878439,,03/03/2014,Spyros P Panagopoulos,(HUM) History - Asia; (HUM) Religion; ,Al-Masāq ---Taylor and Francis,Book Chapter/Reference Work,Greece,No,,"Department of History, Ionian University, Corfu, Greece; http://retractionwatch.com/2020/08/11/getting-medieval-society-says-it-is-retracting-14-book-reviews-for-plagiarism/",plagiarism of article,08/11/2020,Review Article; Retraction,00000000; unavailable
Mediterranes Kaisertum und imperiale Ordnung: Das lateinische Kaiserreich von Konstantinopel,10.1080/09503110.2017.1379983,,09/29/2017,Spyros P Panagopoulos,(HUM) History - Asia; (HUM) Religion; ,Al-Masāq ---Taylor and Francis,Book Chapter/Reference Work,Greece,No,,"Department of History, Ionian University, Greece; http://retractionwatch.com/2020/08/11/getting-medieval-society-says-it-is-retracting-14-book-reviews-for-plagiarism/",plagiarism of article,08/11/2020,Review Article; Retraction,00000000; unavailable
"Popular Muslim Reactions to the Franks in the Levant, 1097–1291: Alex Mallett, 2014, Burlington, VT: Ashgate 2014] ISBN 9781409456124",10.1080/09503110.2020.1712821,,01/16/2020,Spyros P Panagopoulos,(HUM) History - Africa; (HUM) History - Asia; (HUM) History - Europe; (HUM) Religion; ,Al-Masāq ---Taylor and Francis,Book Chapter/Reference Work,Greece,No,,"Department of History, Ionian University, Corfu, Greece; http://retractionwatch.com/2020/08/11/getting-medieval-society-says-it-is-retracting-14-book-reviews-for-plagiarism/",plagiarism of article,08/11/2020,Review Article; Retraction,00000000; unavailable
The Byzantine Turks: 1204–1461,10.1080/09503110.2016.1275635,,02/07/2017,Spyros P Panagopoulos,(HUM) History - Asia; (HUM) Religion; ,Al-Masāq ---Taylor and Francis,Book Chapter/Reference Work,Greece,No,,"Ionian University, Department of History, Corfu, Greece; http://retractionwatch.com/2020/08/11/getting-medieval-society-says-it-is-retracting-14-book-reviews-for-plagiarism/?shared=email&msg=fail",plagiarism of article,08/11/2020,Review Article; Retraction,00000000; unavailable
The Eastern Mediterranean frontier of Latin Christendom,10.1080/09503110.2019.1567827,,01/24/2019,Spyros P Panagopoulos,(HUM) History - Asia; (HUM) Religion; ,Al-Masāq ---Taylor and Francis,Book Chapter/Reference Work,Greece,No,,"Ionian University, Corfu, Greece; http://retractionwatch.com/2020/08/11/getting-medieval-society-says-it-is-retracting-14-book-reviews-for-plagiarism/?shared=email&msg=fail",plagiarism of article,08/11/2020,Review Article; Retraction,00000000; unavailable
The Latin Renovatio of Byzantium. The Empire of Constantinople (1204–1228),10.1080/09503110.2014.915124,,08/14/2014,Spyros P Panagopoulos,(HUM) History - Asia; (HUM) History - Europe; (HUM) Religion; ,Al-Masāq ---Taylor and Francis,Book Chapter/Reference Work,Greece,No,,"Department of History, Ionian University, Corfu, Greece; http://retractionwatch.com/2020/08/11/getting-medieval-society-says-it-is-retracting-14-book-reviews-for-plagiarism/?shared=email&msg=fail",plagiarism of article,08/11/2020,Review Article; Retraction,00000000; unavailable
"The Military Orders, volume V: Politics and Power",10.1080/09503110.2015.1100831,,01/05/2016,Spyros P Panagopoulos,(HUM) History - Asia; (HUM) Religion; ,Al-Masāq ---Taylor and Francis,Book Chapter/Reference Work,Italy,No,,"Ionian University, Corfu, Italy; http://retractionwatch.com/2020/08/11/getting-medieval-society-says-it-is-retracting-14-book-reviews-for-plagiarism/?shared=email&msg=fail",plagiarism of article,08/11/2020,Review Article; Retraction,00000000; unavailable
"The Orthodox Church in the Arab World (700 –1700) Samuel Noble and Alexander Treiger (Eds), 2014 ISBN 978-0-87580-701-0",10.1080/09503110.2019.1662606,,09/05/2019,Spyros P Panagopoulos,(HUM) Religion; ,Al-Masāq ---Taylor and Francis,Book Chapter/Reference Work,Greece,No,,"Department of History, Ionian University, Corfu, Greece; http://retractionwatch.com/2020/08/11/getting-medieval-society-says-it-is-retracting-14-book-reviews-for-plagiarism/?shared=email&msg=fail",plagiarism of article,08/11/2020,Review Article; Retraction,00000000; unavailable
Wassily Kandinsky's The Yellow Sound as a Total Work of Art: Reception and Interpretation,10.5325/intelitestud.21.2.0218,,02/01/2019,Robert James Cardullo,(HUM) Arts - General; ,Interdisciplinary Literary Studies ---Penn State University Press,Review Article,Unknown,No,,unavailable,plagiarism of article,08/11/2020,Retraction,00000000; unavailable
Wassily Kandinsky's The Yellow Sound as a Total Work of Art: Reception and Interpretation,10.2979/jmodelite.41.4.01,,04/01/2018,Robert James Cardullo,(HUM) Arts - General; ,Journal of Modern Literature ---Indiana University Press,Review Article,Unknown,No,,unavailable,plagiarism of article,08/06/2020,Retraction,00000000; unavailable
"Well Begun Is Only Half Done: Tracing Aristotle's Political Ideas in Medieval Arabic, Syriac, Byzantine, and Jewish Sources",10.1080/09503110.2014.915123,,08/19/2014,Spyros P Panagopoulos,(HUM) History - Asia; (HUM) History - Europe; (HUM) Religion; ,Al-Masāq ---Taylor and Francis,Book Chapter/Reference Work,Greece,No,,"Department of History, Ionian University, Corfu, Greece; http://retractionwatch.com/2020/08/11/getting-medieval-society-says-it-is-retracting-14-book-reviews-for-plagiarism/?shared=email&msg=fail",plagiarism of article,08/11/2020,Review Article; Retraction,00000000; unavailable
"Angelidi, Christine, and George T. Calofonos, eds. Dreaming in Byzantium and Beyond. ISBN: 9781409400554",,,10/01/2015,Spyros P Panagopoulos,(HUM) History - Europe; ,The Medieval Review ---Indiana University Press,Book Chapter/Reference Work,Greece,"No <zzzz id=""imgNotesAdmin"" border=""0"" src=""../Images/NotesAdmin.png"" alt=""NotesAdmin"" style=""display:none;margin-top:2px;"" title=""https://scholarworks.iu.edu/journals/index.php/tmr/article/view/20110 We regret to report that we are retracting the following reviews, which duplicate significant content from previously published reviews by other authors, as follows: TMR 20.08.15, review of S. Kennedy, Two Works on Trebizond  copied from: https://bmcr.brynmawr.edu/2019/2019.08.18/ TMR 19.11.06, review of M. Angold, Nicholas Mesarites https://scholarworks.iu.edu/journals/index.php/tmr/article/view/28825 copied from https://www.goodreads.com/review/show/2605105400 and  https://www.amazon.com/Nicholas-Mesarites-Translation-Translated-Byzantinists/dp/178694006X TMR 16.05.15, review of A. Kaldellis, The Byzantine Republic, https://scholarworks.iu.edu/journals/index.php/tmr/article/view/21948 copied from https://bmcr.brynmawr.edu/2015/2015.10.11/ TMR 15.10.11, review of C. Angelidi and G. Calofonos, Dreaming in Byzantium and Beyond  https://scholarworks.iu.edu/journals/index.php/tmr/article/view/20110  contains overlap with https://bmcr.brynmawr.edu/2015/2015.04.58/ The author of the retracted reviews, Spyros Panagopoulos, also wrote one other review for us:  https://scholarworks.iu.edu/journals/index.php/tmr/article/view/26113 We deeply apologize to our readers, to the authors of the books, and especially to the original authors whose work was stolen; we have permanently removed all of these reviews from our website. The Editors The Medieval Review Posted August 10, 2020"" class=""NotesAdmin"">",,"Ionian University, Greece; http://retractionwatch.com/2020/08/11/getting-medieval-society-says-it-is-retracting-14-book-reviews-for-plagiarism/?shared=email&msg=fail",plagiarism of article; withdrawal,08/10/2020,Research Article; Retraction,00000000; unavailable
"Angold, Michael, trans. Nicholas Mesarites: His Life and Works (in translation). Translated Texts for Byzantinists, vol. 4. Liverpool, UK: Liverpool University Press, 2018. pp. 376. ISBN: 978-1-78694-006-3",,,11/01/2019,Spyros P Panagopoulos,(HUM) Arts - Biography; (HUM) History - Europe; ,The Medieval Review ---Indiana University Press,Book Chapter/Reference Work,Greece,No,,"Ionian University, Corfu (Greece); http://retractionwatch.com/2020/08/11/getting-medieval-society-says-it-is-retracting-14-book-reviews-for-plagiarism/?shared=email&msg=fail",plagiarism of article; withdrawal,08/10/2020,Review Article; Retraction,00000000; unavailable
"Chevalier, Marie-Anna and Isabelle Ortega, eds. Élites chrétiennes et formes du pouvoir en Méditerranée centrale et orientale (XIII -XV siècle). ISBN: 978-2-406-06456-5",,,11/01/2018,Spyros P Panagopoulos,(HUM) History - Africa; (HUM) History - Asia; (HUM) History - Europe; ,The Medieval Review ---Indiana University Press,Book Chapter/Reference Work,Greece,"No <zzzz id=""imgNotesAdmin"" border=""0"" src=""../Images/NotesAdmin.png"" alt=""NotesAdmin"" style=""display:none;margin-top:2px;"" title=""https://scholarworks.iu.edu/journals/index.php/tmr/article/view/26113 We regret to report that we are retracting the following reviews, which duplicate significant content from previously published reviews by other authors, as follows: TMR 20.08.15, review of S. Kennedy, Two Works on Trebizond  copied from: https://bmcr.brynmawr.edu/2019/2019.08.18/ TMR 19.11.06, review of M. Angold, Nicholas Mesarites https://scholarworks.iu.edu/journals/index.php/tmr/article/view/28825  copied from https://www.goodreads.com/review/show/2605105400 and  https://www.amazon.com/Nicholas-Mesarites-Translation-Translated-Byzantinists/dp/178694006X TMR 16.05.15, review of A. Kaldellis, The Byzantine Republic, https://scholarworks.iu.edu/journals/index.php/tmr/article/view/21948  copied from https://bmcr.brynmawr.edu/2015/2015.10.11/ TMR 15.10.11, review of C. Angelidi and G. Calofonos, Dreaming in Byzantium and Beyond  https://scholarworks.iu.edu/journals/index.php/tmr/article/view/20110  contains overlap with https://bmcr.brynmawr.edu/2015/2015.04.58/ The author of the retracted reviews, Spyros Panagopoulos, also wrote one other review for us:  https://scholarworks.iu.edu/journals/index.php/tmr/article/view/26113 We deeply apologize to our readers, to the authors of the books, and especially to the original authors whose work was stolen; we have permanently removed all of these reviews from our website. The Editors The Medieval Review Posted August 10, 2020"" class=""NotesAdmin"">",,"Ionian University, Corfu, Greece; http://retractionwatch.com/2020/08/11/getting-medieval-society-says-it-is-retracting-14-book-reviews-for-plagiarism/?shared=email&msg=fail",plagiarism of article; withdrawal,08/10/2020,Review Article; Retraction,00000000; unavailable
"Kaldellis, Anthony. The Byzantine Republic: People and Power in New Rome. ISBN: 978-0-674365-407",,,05/01/2016,Spyros P Panagopoulos,(HUM) History - Africa; (HUM) History - Europe; ,The Medieval Review ---Indiana University Press,Book Chapter/Reference Work,Greece,"No <zzzz id=""imgNotesAdmin"" border=""0"" src=""../Images/NotesAdmin.png"" alt=""NotesAdmin"" style=""display:none;margin-top:2px;"" title=""https://scholarworks.iu.edu/journals/index.php/tmr/article/view/21948 Kaldellis, Anthony. The Byzantine Republic: People and Power in New Rome. Cambridge, MA: Harvard University Press, 2015. pp. 290. ISBN: 978-0-674365-407 (hardback). Reviewed by: Spyros P. Panagopoulos Ionian University, Corfu, Greece spyrpan1@gmail.com We regret to report that we are retracting the following reviews, which duplicate significant content from previously published reviews by other authors, as follows: TMR 20.08.15, review of S. Kennedy, Two Works on Trebizond  copied from: https://bmcr.brynmawr.edu/2019/2019.08.18/ TMR 19.11.06, review of M. Angold, Nicholas Mesarites https://scholarworks.iu.edu/journals/index.php/tmr/article/view/28825  copied from https://www.goodreads.com/review/show/2605105400 and  https://www.amazon.com/Nicholas-Mesarites-Translation-Translated-Byzantinists/dp/178694006X TMR 16.05.15, review of A. Kaldellis, The Byzantine Republic, https://scholarworks.iu.edu/journals/index.php/tmr/article/view/21948  copied from https://bmcr.brynmawr.edu/2015/2015.10.11/ TMR 15.10.11, review of C. Angelidi and G. Calofonos, Dreaming in Byzantium and Beyond  https://scholarworks.iu.edu/journals/index.php/tmr/article/view/20110  contains overlap with https://bmcr.brynmawr.edu/2015/2015.04.58/ The author of the retracted reviews, Spyros Panagopoulos, also wrote one other review for us:  https://scholarworks.iu.edu/journals/index.php/tmr/article/view/26113 We deeply apologize to our readers, to the authors of the books, and especially to the original authors whose work was stolen; we have permanently removed all of these reviews from our website. The Editors The Medieval Review Posted August 10, 2020"" class=""NotesAdmin"">",,"Ionian University, Corfu, Greece; http://retractionwatch.com/2020/08/11/getting-medieval-society-says-it-is-retracting-14-book-reviews-for-plagiarism/?shared=email&msg=fail",plagiarism of article; withdrawal,08/10/2020,Review Article; Retraction,00000000; unavailable
"S. Kennedy, Two Works on Trebizond",,,08/01/2020,Spyros P Panagopoulos,(HUM) History - Africa; (HUM) History - Asia; (HUM) History - Europe; ,The Medieval Review ---Indiana University Press,Book Chapter/Reference Work,Greece,No,,Greece; http://retractionwatch.com/2020/08/11/getting-medieval-society-says-it-is-retracting-14-book-reviews-for-plagiarism/?shared=email&msg=fail,plagiarism of article; withdrawal,08/10/2020,Review Article; Retraction,00000000; unavailable
"COVID-19 and the scaled-down 2020 Hajj Pilgrimage - Decisive, logical and prudent decision making by Saudi authorities overcomes pre-Hajj public health concerns",10.1016/j.ijid.2020.08.014,32777586,08/08/2020,Alimuddin Zumla; Esam I Azhar; Salah Alqahtani; Shuja Shafi; Ziad A Memish,(HSC) Medicine - Infectious Disease; (HSC) Public Health and Safety; (HUM) Religion; ,International Journal of Infectious Diseases (IJID): Official Publication of the International Society for Infectious Diseases ---Elsevier,Research Article,Saudi Arabia,United Kingdom,United States; No,"Division of Infection and Immunity, University College London, and NIHR Biomedical Research Centre, UCL Hospitals NHS Foundation Trust, London, United Kingdom Special Infectious Agents Unit, King Fahd Medical Research Center, Jeddah, Saudi Arabia Medical Laboratory Sciences Department, Faculty of Applied Medical Sciences, King Abdulaziz University, Jeddah, Saudi Arabia Department of Medicine, King Faisal Specialist Hospital & Research Center, Riyadh, Saudi Arabia Division of Gastroenterology and Hepatology, Johns Hopkins University, Baltimore, MD, USA Mass Gatherings and Global Health Network, London, United Kingdom Research & Innovation Centre, King Saud Medical City, Ministry of Health, and College of Medicine, Alfaisal University, Riyadh, Saudi Arabia Hubert Department of Global Health, Emory University, Atlanta, USA",date of retraction/other unknown; duplicate publication through error by journal/publisher,08/08/2020,Retraction,32777586; 10.1016/j.ijid.2020.08.014
"Diversity, Inclusion, and Equity: Evolution of Race and Ethnicity Considerations for the Cardiology Workforce in the United States of America From 1969 to 2019",10.1161/JAHA.120.015959,32204667,03/24/2020,Norman C Wang,(HSC) Medicine - Cardiology; (HUM) History - North America; (SOC) Sociology; ,Journal of the American Heart Association ---American Heart Association,Commentary/Editorial,United States,No,,"Heart and Vascular Institute, University of Pittsburgh Medical Center, 200 Lothrop Street, South Tower, 3rd Floor, Room E352.9, Pittsburgh, PA 15213; http://retractionwatch.com/2020/08/06/a-retraction-and-a-retraction-request-as-twitter-users-call-out-sexism-fat-shaming-and-racism/",complaints about author; concerns/issues about results; error in text; objections by author(s); objections by third party,08/06/2020,Retraction,32757972; 10.1161/JAHA.119.014602
"M. D. Lauxtermann, Byzantine poetry from Pisides to Geometres: texts and contexts",,,07/01/2020,Spyros P Panagopoulos,(HUM) History - Africa; (HUM) History - Asia; (HUM) History - Europe; ,Bryn Mawr Classical Review ---Bryn Mawr College,Book Chapter/Reference Work,Greece,,,Greece; http://retractionwatch.com/2020/08/11/getting-medieval-society-says-it-is-retracting-14-book-reviews-for-plagiarism/?shared=email&msg=fail,plagiarism of article; withdrawal,08/05/2020,Review Article; Retraction,00000000; unavailable
The Identity Conditions of Matter According to William of Ockham,,,02/01/2015,Magali Roques,(HUM) Philosophy; (PHY) Chemistry; ,Epekeina ---CRF: Centro Internazionale per la Ricerca Filosofica,Research Article,Germany,No,,Dahlem Research School (Freie Universität Berlin),notice - limited or no information,07/28/2020,Retraction,00000000; unavailable
Albania’s Difficult Path towards Democracy,10.1163/22102396-04804005,,12/01/2014,Teresa Maria Cierco,(B/T) Government; (HUM) History - Europe; ,Canadian-American Slavic Studies ---Brill,Research Article,Portugal,No,,"University of Porto, Portugal",error in text; updated to retraction;; falsification/fabrication of data; plagiarism of article; upgrade/update of prior notice,02/04/2019;; 07/16/2020,Correction;; Retraction,00000000; 10.1163/22102396-04804005;; 00000000; 10.30965/22102396-00000024
