4352,"A fatal heroin addict with myocardial lesion (HSC) Medicine - Cardiology; (PUB) Society/Association Journals;  Journal of the Medical Association of Thailand: Chotmaihet Thangphaet ---Medical Association of Thailand Department of Forensic Medicine, Faculty of Medicine, Siriraj Hospital, Mahidol University, Bangkok, Thailand",+Notice - Limited or No Information,Supawon Srettabunjong,02/01/2009 19253806 unavailable,01/01/2010 20198755 unavailable,Case Report Retraction,Thailand No
4194,"Acute heart failure treatment: traditional and new drugs (HSC) Medicine - Cardiology; (HSC) Medicine - Drug Design;  Contributions to Nephrology ---Karger Division of Cardiology, Northwestern University Feinberg School of Medicine, Chicago, Ill., USADepartment of Internal Medicine and Metabolic Diseases, Cardiology Section University of Siena, SienaDepartment of Nephrology, Dialysis & Transplantation, International Renal Research Institute, San Bortolo Hospital, Vicenza, Italy",+Concerns/Issues About Data+Miscommunication by Author,Mihai Gheorghiade Alberto Palazuolli Claudio Ronco,01/01/2010 20427961 10.1159/000313750,01/01/2010 20527365,Clinical Study Retraction,Italy United States No
3930,"Design of improved permeation enhancers for transdermal drug delivery (BLS) Biochemistry; (HSC) Medicine - Drug Design; (HSC) Medicine - Pharmacology; (PUB) Society/Association Journals;  Journal of Pharmaceutical Sciences ---Elsevier School of Chemical Engineering, Oklahoma State University, Stillwater, Oklahoma 74078",+Notice - Limited or No Information+Retract and Replace,Srinivas S Godavarthy Krishna M Yerramsetty Vijay K Rachakonda Brian J Neely Sundararajan V Madihally Robert L Robinson Jr Khaled AM Gasem,02/06/2009 19697392 10.1002/jps.21940,01/01/2010 19199297 10.1002/jps.21681,Research Article Retraction,United States Yes
4076,"Editorial (HSC) Medicine - Nursing; (PUB) Society/Association Journals;  Journal of Pediatric Oncology Nursing: Official Journal of the Association of Pediatric Oncology Nurses ---SAGE Publications Editor-in-Chief, Journal of Pediatric Oncology Nursing",+Error by Journal/Publisher+Retract and Replace,Nancy E Kline,12/28/2009 20038671 10.1177/1043454209358753,01/01/2010 20038671 10.1177/1043454209358753,Commentary/Editorial Retraction,United States No
2665,"Effect of bufalin on proliferation and apoptosis of human non-small cell lung cancer A549 cell (BLS) Biology - Cancer; (BLS) Biology - Cellular; (HSC) Medicine - Oncology;  Zhongguo Fei Ai Za Zhi ---Zhongguo Fei Ai Za Zhi Bian Ji Wei Yuan Hui Department of Oncology, the First Affiliated Hospital of Liaoning Medical University, Jinzhou 121001, ChinaDepartment of Medical Oncology, the First Affiliated Hospital of China Medical University, Shenyang 110001, China",+Duplication of Article,Zhitu Zhu Yunlong Yu Kai Wang Enze Li Yangyang Liu Yunpeng Liu,09/01/2010 20840810 10.3779/j.issn.1009-3419.2010.09.01,01/01/2010 21081045 10.3779/j.issn.1009-3419.2010.11.19,Clinical Study Retraction,China No
4321,"Enhancing efficacy and mucosa-tropic distribution of an oral HIV-PsV DNA vaccine in animal models (BLS) Genetics; (BLS) Toxicology; (HSC) Medicine - Drug Design; (HSC) Medicine - Immunology; (HSC) Medicine - Infectious Disease; (HSC) Medicine - Pathology; (HSC) Medicine - Pharmacology;  Journal of Drug Targeting ---Taylor and Francis Department of Pharmacology and Toxicology, Beijing Institute of Radiation Medicine, BeijingDepartment of Cardiovascular Surgery, XiJing Hospital, Fourth Military Medical University, Xi’an",+Error in Results and/or Conclusions+Results Not Reproducible,Jie Fu Guangxing Bian Bijun Zhao Zengxiang Dong Xiao Sun Fang Chen Lun Ou Haifeng Song,12/01/2009 19863197 10.3109/10611860903089768,01/01/2010 20001573 10.3109/10611860903509661,Research Article Retraction,China No
4573,"Intron-1 rs3761548 is related to the defective transcription of Foxp3 in psoriasis through abrogating E47/c-Myb binding (BLS) Biology - Molecular; (BLS) Genetics; (HSC) Medicine - Immunology;  Journal of Cellular and Molecular Medicine (JCMM) ---Wiley Department of Dermatology, Southwest Hospital, Third Military Medical University, Chongqing, ChinaDepartment of Dermatology, Institute of Battle Surgery, Daping Hospital, Third Military Medical University, Chongqing, ChinaDepartment of Dermatology, Xijing Hospital, Fourth Military Medical University, Xi’an, China",+Lack of Approval from Author,Zhu Shen Ling Chen Fei Hao Gang Wang Pingshen Fan Yufeng Liu,05/24/2008 20414968 10.1111/j.1582-4934.2008.00370.x,01/01/2010 20931702 10.1111/j.1582-4934.2008.00370.x,Research Article Retraction,China No
2420,"Orthodontic expansion treatment and adenotonsillectomy in the treatment of obstructive sleep apnea in prepubertal children (HSC) Medicine - Dentistry; (HSC) Medicine - Otorhinolaryngology; (HSC) Medicine - Pediatrics;  Sleep ---Oxford Academic Stanford University Sleep Medicine Program, Stanford, CA, USA",+Error in Data+Error in Methods+Lack of IRB/IACUC Approval,Christian Guilleminault Stacey Quo Nelly T Huynh Kasey Li,07/01/2008 18652090 10.5665/sleep/31.7.953,01/01/2010 20213963 10.1093/sleep/33.1.8,Research Article Retraction,United States No
18006,"Orthodontic expansion treatment and adenotonsillectomy in the treatment of obstructive sleep apnea in prepubertal children (HSC) Medicine - Dentistry; (HSC) Medicine - Otorhinolaryngology; (HSC) Medicine - Pediatrics;  Sleep ---Oxford Academic Stanford University Sleep Medicine Program, Stanford, CA, USA",+Notice - Unable to Access via current resources,Christian Guilleminault Stacey Quo Nelly T Huynh Kasey Li,07/01/2008 18652090 10.5665/sleep/31.7.953,01/01/2009 20213963 unavailable,Research Article Correction,United States No
1867,"Prehospital care of the adult trauma patient (HSC) Medicine - Internal; (PUB) Institutional Journals;  Bratislava Medical Journal - Bratislavské Lekárske Listy ---AEPress Henry Ford Hospital, Detroit, MI 48226, USA",+Notice - Unable to Access via current resources+Withdrawal,P Vajda,01/01/2007 18203544 unavailable,01/01/2010 20593564 unavailable,Research Article Retraction,United States Unknown
