"6251","Impact of Spiritual Leadership on Unit Performance (B/T) Business - Management; (HUM) Religion; (SOC) Sociology;  The Leadership Quarterly ---Elsevier Texas A&M - Central Texas, 1901 South Clear Creek Rd. Killeen, TX 76549, United States Center for the Army Profession and Ethic, West Point, United States Military Academy, West Point, NY, 10996, United States Department of Behavioral Sciences and Leadership, United States Military Academy, West Point, NY, 10996, United States Department of Management, W.P. Carey School of Business, Arizona State University, Tempe, AZ 85287-4006, United States http://retractionwatch.com/2014/02/07/leadership-journal-to-retract-five-papers-from-fiu-scholar/ http://retractionwatch.com/category/by-author/walumbwa/","+Unreliable Data+Unreliable Results+Upgrade/Update of Prior Notice","Louis W Fry Sean T Hannah Michael Noel Frederick O Walumbwa","04/01/2011 00000000 10.1016/j.leaqua.2011.02.002","10/01/2014 00000000 10.1016/j.leaqua.2014.07.005","Research Article Retraction","United States No"
"17185","Impact of Spiritual Leadership on Unit Performance (B/T) Business - Management; (HUM) Religion; (SOC) Sociology;  The Leadership Quarterly ---Elsevier Texas A&M - Central Texas, 1901 South Clear Creek Rd. Killeen, TX 76549, United States Center for the Army Profession and Ethic, West Point, United States Military Academy, West Point, NY, 10996, United States Department of Behavioral Sciences and Leadership, United States Military Academy, West Point, NY, 10996, United States Department of Management, W.P. Carey School of Business, Arizona State University, Tempe, AZ 85287-4006, United States http://retractionwatch.com/2014/02/07/leadership-journal-to-retract-five-papers-from-fiu-scholar/ http://retractionwatch.com/category/by-author/walumbwa/","+Unreliable Data+Unreliable Results+Upgrade/Update of Prior Notice","Louis W Fry Sean T Hannah Michael Noel Frederick O Walumbwa","04/01/2011 00000000 10.1016/j.leaqua.2011.02.002","07/30/2014 00000000 10.1016/j.leaqua.2012.04.001","Correction/Erratum/Corrigendum Retracted Article Retraction","United States No"
"17184","Impact of Spiritual Leadership on Unit Performance (B/T) Business - Management; (HUM) Religion; (SOC) Sociology;  The Leadership Quarterly ---Elsevier Texas A&M - Central Texas, 1901 South Clear Creek Rd. Killeen, TX 76549, United States Center for the Army Profession and Ethic, West Point, United States Military Academy, West Point, NY, 10996, United States Department of Behavioral Sciences and Leadership, United States Military Academy, West Point, NY, 10996, United States Department of Management, W.P. Carey School of Business, Arizona State University, Tempe, AZ 85287-4006, United States http://retractionwatch.com/2014/02/07/leadership-journal-to-retract-five-papers-from-fiu-scholar/ http://retractionwatch.com/category/by-author/walumbwa/","+Error in Data","Louis W Fry Sean T Hannah Michael Noel Frederick O Walumbwa","04/01/2011 00000000 10.1016/j.leaqua.2011.02.002","04/27/2012 00000000 10.1016/j.leaqua.2012.04.001","Research Article Correction","United States No"
"6251","Impact of Spiritual Leadership on Unit Performance (B/T) Business - Management; (HUM) Religion; (SOC) Sociology;  The Leadership Quarterly ---Elsevier Texas A&M - Central Texas, 1901 South Clear Creek Rd. Killeen, TX 76549, United States Center for the Army Profession and Ethic, West Point, United States Military Academy, West Point, NY, 10996, United States Department of Behavioral Sciences and Leadership, United States Military Academy, West Point, NY, 10996, United States Department of Management, W.P. Carey School of Business, Arizona State University, Tempe, AZ 85287-4006, United States http://retractionwatch.com/2014/02/07/leadership-journal-to-retract-five-papers-from-fiu-scholar/ http://retractionwatch.com/category/by-author/walumbwa/","+Unreliable Data+Unreliable Results+Upgrade/Update of Prior Notice","Louis W Fry Sean T Hannah Michael Noel Frederick O Walumbwa","04/01/2011 00000000 10.1016/j.leaqua.2011.02.002","10/01/2014 00000000 10.1016/j.leaqua.2014.07.005","Research Article Retraction","United States No"
"17185","Impact of Spiritual Leadership on Unit Performance (B/T) Business - Management; (HUM) Religion; (SOC) Sociology;  The Leadership Quarterly ---Elsevier Texas A&M - Central Texas, 1901 South Clear Creek Rd. Killeen, TX 76549, United States Center for the Army Profession and Ethic, West Point, United States Military Academy, West Point, NY, 10996, United States Department of Behavioral Sciences and Leadership, United States Military Academy, West Point, NY, 10996, United States Department of Management, W.P. Carey School of Business, Arizona State University, Tempe, AZ 85287-4006, United States http://retractionwatch.com/2014/02/07/leadership-journal-to-retract-five-papers-from-fiu-scholar/ http://retractionwatch.com/category/by-author/walumbwa/","+Unreliable Data+Unreliable Results+Upgrade/Update of Prior Notice","Louis W Fry Sean T Hannah Michael Noel Frederick O Walumbwa","04/01/2011 00000000 10.1016/j.leaqua.2011.02.002","07/30/2014 00000000 10.1016/j.leaqua.2012.04.001","Correction/Erratum/Corrigendum Retracted Article Retraction","United States No"
"17184","Impact of Spiritual Leadership on Unit Performance (B/T) Business - Management; (HUM) Religion; (SOC) Sociology;  The Leadership Quarterly ---Elsevier Texas A&M - Central Texas, 1901 South Clear Creek Rd. Killeen, TX 76549, United States Center for the Army Profession and Ethic, West Point, United States Military Academy, West Point, NY, 10996, United States Department of Behavioral Sciences and Leadership, United States Military Academy, West Point, NY, 10996, United States Department of Management, W.P. Carey School of Business, Arizona State University, Tempe, AZ 85287-4006, United States http://retractionwatch.com/2014/02/07/leadership-journal-to-retract-five-papers-from-fiu-scholar/ http://retractionwatch.com/category/by-author/walumbwa/","+Error in Data","Louis W Fry Sean T Hannah Michael Noel Frederick O Walumbwa","04/01/2011 00000000 10.1016/j.leaqua.2011.02.002","04/27/2012 00000000 10.1016/j.leaqua.2012.04.001","Research Article Correction","United States No"
"6251","Impact of Spiritual Leadership on Unit Performance (B/T) Business - Management; (HUM) Religion; (SOC) Sociology;  The Leadership Quarterly ---Elsevier Texas A&M - Central Texas, 1901 South Clear Creek Rd. Killeen, TX 76549, United States Center for the Army Profession and Ethic, West Point, United States Military Academy, West Point, NY, 10996, United States Department of Behavioral Sciences and Leadership, United States Military Academy, West Point, NY, 10996, United States Department of Management, W.P. Carey School of Business, Arizona State University, Tempe, AZ 85287-4006, United States http://retractionwatch.com/2014/02/07/leadership-journal-to-retract-five-papers-from-fiu-scholar/ http://retractionwatch.com/category/by-author/walumbwa/","+Unreliable Data+Unreliable Results+Upgrade/Update of Prior Notice","Louis W Fry Sean T Hannah Michael Noel Frederick O Walumbwa","04/01/2011 00000000 10.1016/j.leaqua.2011.02.002","10/01/2014 00000000 10.1016/j.leaqua.2014.07.005","Research Article Retraction","United States No"
"17185","Impact of Spiritual Leadership on Unit Performance (B/T) Business - Management; (HUM) Religion; (SOC) Sociology;  The Leadership Quarterly ---Elsevier Texas A&M - Central Texas, 1901 South Clear Creek Rd. Killeen, TX 76549, United States Center for the Army Profession and Ethic, West Point, United States Military Academy, West Point, NY, 10996, United States Department of Behavioral Sciences and Leadership, United States Military Academy, West Point, NY, 10996, United States Department of Management, W.P. Carey School of Business, Arizona State University, Tempe, AZ 85287-4006, United States http://retractionwatch.com/2014/02/07/leadership-journal-to-retract-five-papers-from-fiu-scholar/ http://retractionwatch.com/category/by-author/walumbwa/","+Unreliable Data+Unreliable Results+Upgrade/Update of Prior Notice","Louis W Fry Sean T Hannah Michael Noel Frederick O Walumbwa","04/01/2011 00000000 10.1016/j.leaqua.2011.02.002","07/30/2014 00000000 10.1016/j.leaqua.2012.04.001","Correction/Erratum/Corrigendum Retracted Article Retraction","United States No"
"17184","Impact of Spiritual Leadership on Unit Performance (B/T) Business - Management; (HUM) Religion; (SOC) Sociology;  The Leadership Quarterly ---Elsevier Texas A&M - Central Texas, 1901 South Clear Creek Rd. Killeen, TX 76549, United States Center for the Army Profession and Ethic, West Point, United States Military Academy, West Point, NY, 10996, United States Department of Behavioral Sciences and Leadership, United States Military Academy, West Point, NY, 10996, United States Department of Management, W.P. Carey School of Business, Arizona State University, Tempe, AZ 85287-4006, United States http://retractionwatch.com/2014/02/07/leadership-journal-to-retract-five-papers-from-fiu-scholar/ http://retractionwatch.com/category/by-author/walumbwa/","+Error in Data","Louis W Fry Sean T Hannah Michael Noel Frederick O Walumbwa","04/01/2011 00000000 10.1016/j.leaqua.2011.02.002","04/27/2012 00000000 10.1016/j.leaqua.2012.04.001","Research Article Correction","United States No"
"21002","The Negative Association between Religiousness and Children's Altruism across the World (HUM) Religion; (SOC) Philosophy; (SOC) Psychology;  Current Biology (CB) ---Elsevier  - Cell Press 1The Child Neurosuite, Department of Psychology, University of Chicago, Chicago, IL 60637, USA 2Erick Jackman Institute of Child Study, University of Toronto, Toronto, ON M5R 2X2, Canada 3Department of Educational Psychology, Hashemite University, Zarqa 13133, Jordan 4College of Education, Qatar University, 2713 Doha, Qatar 5Department of Psychology, University of Cape Town, Rondebosch 7701, South Africa 6Department of Psychology, Koc University, Rumelifeneri Yolu 34450, Turkey 7Department of Psychology, Sun-Yat Sen University, Guangzhou 510275, China","+Error in Analyses+Error in Results and/or Conclusions","Jean Decety Jason M Cowell Kang Lee Randa Mahasneh Susan Malcolm-Smith","11/05/2015 26549259 10.1016/j.cub.2015.09.056","08/05/2019 31386841 10.1016/j.cub.2019.07.030","Research Article Retraction","Canada China Jordan Qatar South Africa Turkey United States No"
"17211","Warlords, priests and the politics of ethnic cleansing: a case-study from rural Bosnia Hercegovina (HUM) History - Europe; (HUM) Religion;  Ethnic and Racial Studies ---SAGE Publications Free University of Amsternam, Netherlands http://retractionwatch.com/2014/04/03/first-retraction-appears-for-dutch-anthropologist-mart-bax/","+Falsification/Fabrication of Data+Investigation by Company/Institution+Investigation by Journal/Publisher+Misconduct - Official Investigation/Finding+Misconduct by Author","Mart Bax","12/07/2010 00000000 10.1080/014198700329114","03/28/2014 00000000 10.1080/01419870.2014.886365","Review Article Retraction","Netherlands No"
"19816","Religion and mental health (HUM) Religion; (SOC) Psychology;  Indian Journal of Psychiatry ---Wolters Kluwer Department of Psychiatry, Jawaharlal Nehru Medical College, Wardha, Maharashtra, India Department of Psychiatry, Mahatma Gandhi Institute of Medical Sciences, Sevagram, Maharashtra, India American Board of Psychiatry and Neurology Adult Board Certified and Senior Child Psychiatry, Fellow South Illinois University, USA","+Plagiarism of Article","Prakash B Behere Anweshak Das Richa Yadav Aniruddh P Behere","01/07/2013 23858253 10.4103/0019-5545.105526","01/15/2019 31123368 10.4103/0019-5545.249884","Review Article Retraction","India United States No"
"11971","Factors affecting nursing staff in practising spiritual care (HSC) Medicine - Alternative; (HSC) Medicine - Nursing; (HUM) Religion;  Journal of Clinical Nursing ---Wiley Alice Lee Centre for Nursing Studies, National University of Singapore, Singapore, Singapore http://retractionwatch.com/2015/11/04/more-retractions-errata-discovered-for-nursing-researcher/","+Duplication of Text+Euphemisms for Duplication","Moon Fai Chan","07/08/2009 19619214 10.1111/j.1365-2702.2008.02690.x","07/14/2015 26311519 10.1111/jocn.12930","Research Article Correction","Singapore"
"18829","Atomic resolution studies detect new biologic evidences on the Turin Shroud (HUM) Religion; (PHY) Crystallography/Spectroscopy;  PLoS One ---PLoS Istituto Officina dei Materiali, Laboratorio Tecnologie Avanzate Superfici e Catalisi del Consiglio Nazionale delle Ricerche, Area Science Park–Basovizza, Trieste, Italy Istituto di Cristallografia, Consiglio Nazionale delle Ricerche, Bari, Italy Department of Industrial Engineering, Padua University, Padua, Italy http://retractionwatch.com/2018/07/19/over-authors-objections-plos-one-retracts-paper-claiming-shroud-of-turin-showed-evidence-of-trauma/","+Concerns/Issues About Data+Concerns/Issues About Image+Concerns/Issues About Results+Conflict of Interest+Lack Of Balance/Bias Issues+Objections by Author(s)","Elvio Carlino Liberato de Caro Cinzia Giannini Giulio Fanti","06/30/2017 28666007 10.1371/journal.pone.0180487","07/19/2018 30024956 10.1371/journal.pone.0201272","Research Article Retraction","Italy No"
"5286","Islam and Post-Modernism: Locating the Rise of Islamism in Turkey (HUM) History - Asia; (HUM) Religion; (SOC) Political Science;  Journal of Islamic Studies ---Oxford Academic Centre for West Asian Studies, Jamia Millia Islamia","+Concerns/Issues about Referencing/Attributions+Plagiarism of Text+Withdrawal","Anwar Alam","06/26/2009  10.1093/jis/etp023","12/21/2012  10.1093/jis/ets096","Research Article Retraction","India No"
